GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignments_for_test,lift,Lift,189,0,12,0,48,0,14,0,8,0
assignments_for_test,lift,ConsoleInput,16,0,0,0,4,0,2,0,2,0
assignments_for_test,lift,MoveLiftToStage,183,0,10,0,44,0,8,0,3,0
assignments_for_test,links,Links,170,199,8,18,39,43,8,15,3,7
assignments_for_test,links,NetRelationsMod,398,0,12,0,46,0,9,0,3,0
assignments_for_test,links,Links.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
assignments_for_test,links,NetRelations,230,0,12,0,35,0,9,0,3,0
assignments_for_test,links,Links.TripleString,14,10,0,0,1,2,1,1,1,1
assignments_for_test,departments,Departments.Org,17,66,3,9,4,14,5,6,2,3
assignments_for_test,departments,Departments,0,92,0,10,0,23,0,10,0,5
assignments_for_test,departments,Departments.new Comparator() {...},0,49,0,6,0,8,0,5,0,2
assignments_for_test,deadlock,GarantedDeadlock,35,0,0,0,9,0,2,0,2,0
assignments_for_test,deadlock,Thread1,48,0,0,0,18,0,2,0,2,0
assignments_for_test,deadlock,Thread2,48,0,0,0,18,0,2,0,2,0
assignments_for_test,crosszerogame,Logic,88,259,13,41,20,66,13,22,2,6
assignments_for_test,crosszerogame,DrawField,86,0,10,0,17,0,8,0,3,0
assignments_for_test,crosszerogame,StartGame,339,0,28,0,68,0,21,0,7,0
assignments_for_test,crosszerogame,ConsoleInput,16,0,0,0,4,0,2,0,2,0
assignments_for_test,kofemachine,KofeMachine,12,74,0,4,3,12,1,4,1,2
assignments_for_test,kofemachine,KofeMachineNoList,12,78,0,4,3,14,1,4,1,2
